Course Name,Duration,Size
,0 hours 0 minutes and 0 seconds,117.28 GB and 120095.18 MB
0. REAP Program project Introduction Video,0 hours 2 minutes and 15 seconds,117.28 GB and 120095.18 MB
1. Candle Making HI-F-2H-7P,0 hours 0 minutes and 0 seconds,117.28 GB and 120095.18 MB
1. Candle Making HI-F-2H-7P\Candle making No music,3 hours 6 minutes and 36 seconds,117.28 GB and 120095.18 MB
1. Candle Making HI-F-2H-7P\Candle Making with Music,0 hours 0 minutes and 0 seconds,117.28 GB and 120095.18 MB
1. Candle Making HI-F-2H-7P\Candle Making with Music\Chapter 1 - Introduction,0 hours 24 minutes and 48 seconds,117.28 GB and 120095.18 MB
1. Candle Making HI-F-2H-7P\Candle Making with Music\Chapter 2 - Raw materials tools and equipment,0 hours 53 minutes and 57 seconds,117.28 GB and 120095.18 MB
1. Candle Making HI-F-2H-7P\Candle Making with Music\Chapter 3 - Preparation and making of wax candle,0 hours 42 minutes and 50 seconds,117.28 GB and 120095.18 MB
1. Candle Making HI-F-2H-7P\Candle Making with Music\Chapter 4 - Different Types of candles,0 hours 7 minutes and 24 seconds,117.28 GB and 120095.18 MB
1. Candle Making HI-F-2H-7P\Candle Making with Music\Chapter 5 - Top candle trends and their making procedure,0 hours 17 minutes and 53 seconds,117.28 GB and 120095.18 MB
1. Candle Making HI-F-2H-7P\Candle Making with Music\Chapter 6 - Final Presentation and Marketing,0 hours 39 minutes and 41 seconds,117.28 GB and 120095.18 MB
10. UPS and Battery Making EN-M-6H-7P,0 hours 0 minutes and 0 seconds,117.28 GB and 120095.18 MB
10. UPS and Battery Making EN-M-6H-7P\Chapter 1 - Basic Electric and Electronics Engineering - Basic Working concepts,0 hours 21 minutes and 0 seconds,117.28 GB and 120095.18 MB
10. UPS and Battery Making EN-M-6H-7P\Chapter 2 - Parts of Inverter and UPS,0 hours 27 minutes and 2 seconds,117.28 GB and 120095.18 MB
"10. UPS and Battery Making EN-M-6H-7P\Chapter 3 - PCB Components, Diagram and its working",1 hours 14 minutes and 4 seconds,117.28 GB and 120095.18 MB
